Package                      Version
---------------------------- -----------
aiohappyeyeballs             2.6.1
aiohttp                      3.12.15
aiosignal                    1.4.0
alembic                      1.16.5
allure-pytest                2.15.0
allure-python-commons        2.15.0
annotated-types              0.7.0
anthropic                    0.67.0
anyio                        4.9.0
attrs                        25.3.0
Authlib                      1.6.4
bcrypt                       4.3.0
bidict                       0.23.1
black                        25.1.0
blinker                      1.9.0
boolean.py                   5.0
Brotli                       1.1.0
CacheControl                 0.14.3
cachetools                   5.5.2
certifi                      2025.6.15
cffi                         1.17.1
cfgv                         3.4.0
charset-normalizer           3.4.2
click                        8.2.1
colorama                     0.4.6
ConfigArgParse               1.7.1
contourpy                    1.3.2
coverage                     7.10.6
cryptography                 45.0.7
cycler                       0.12.1
cyclonedx-python-lib         9.1.0
defusedxml                   0.7.1
distlib                      0.3.9
distro                       1.9.0
dnspython                    2.7.0
dparse                       0.6.4
email-validator              2.3.0
execnet                      2.1.1
factory_boy                  3.3.3
Faker                        37.6.0
fastapi                      0.116.1
fastapi-limiter              0.1.6
filelock                     3.18.0
flake8                       7.3.0
Flask                        3.1.1
flask-cors                   6.0.1
Flask-Login                  0.6.3
fonttools                    4.58.4
frozenlist                   1.7.0
fsspec                       2025.5.1
gevent                       25.5.1
geventhttpclient             2.3.4
git-filter-repo              2.47.0
google-ai-generativelanguage 0.6.15
google-api-core              2.25.1
google-api-python-client     2.174.0
google-auth                  2.40.3
google-auth-httplib2         0.2.0
google-generativeai          0.8.5
googleapis-common-protos     1.70.0
greenlet                     3.2.3
grpcio                       1.74.0
grpcio-status                1.71.2
h11                          0.16.0
hf-xet                       1.1.5
httpcore                     1.0.9
httplib2                     0.22.0
httptools                    0.6.4
httpx                        0.28.1
huggingface-hub              0.34.4
identify                     2.6.12
idna                         3.10
iniconfig                    2.1.0
isort                        6.0.1
itsdangerous                 2.2.0
Jinja2                       3.1.6
jiter                        0.10.0
joblib                       1.5.2
kiwisolver                   1.4.8
license-expression           30.4.3
locust                       2.40.4
locust-cloud                 1.26.3
Mako                         1.3.10
Markdown                     3.9
markdown-it-py               3.0.0
MarkupSafe                   3.0.2
marshmallow                  4.0.1
matplotlib                   3.10.3
mccabe                       0.7.0
mdurl                        0.1.2
mirakuru                     2.6.0
msgpack                      1.1.1
multidict                    6.6.3
mypy                         1.18.1
mypy_extensions              1.1.0
nest-asyncio                 1.6.0
nltk                         3.9.1
nodeenv                      1.9.1
numpy                        2.3.1
openai                       1.107.2
packageurl-python            0.17.1
packaging                    25.0
pandas                       2.3.0
passlib                      1.7.4
pathspec                     0.12.1
pillow                       11.3.0
pip                          25.2
pip-api                      0.0.34
pip_audit                    2.9.0
pip-requirements-parser      32.0.1
platformdirs                 4.3.8
playwright                   1.54.0
pluggy                       1.6.0
port-for                     0.7.4
pprintpp                     0.4.0
pre_commit                   4.3.0
prometheus_client            0.22.1
propcache                    0.3.2
proto-plus                   1.26.1
protobuf                     5.29.5
psutil                       7.0.0
psycopg                      3.2.9
psycopg2-binary              2.9.10
py-cpuinfo                   9.0.0
py-serializable              2.0.0
pyasn1                       0.6.1
pyasn1_modules               0.4.2
pycodestyle                  2.14.0
pycparser                    2.22
pydantic                     2.11.9
pydantic_core                2.33.2
pyee                         13.0.0
pyflakes                     3.4.0
Pygments                     2.19.2
PyJWT                        2.10.1
pyparsing                    3.2.3
pytest                       8.4.2
pytest-aiohttp               1.1.0
pytest-asyncio               1.2.0
pytest-base-url              2.1.0
pytest-benchmark             5.1.0
pytest-clarity               1.0.1
pytest-cov                   7.0.0
pytest-html                  4.1.1
pytest-httpx                 0.35.0
pytest-metadata              3.1.1
pytest-mock                  3.15.0
pytest-playwright            0.7.1
pytest-postgresql            7.0.2
pytest-snapshot              0.9.0
pytest-sugar                 1.1.1
pytest-timeout               2.4.0
pytest-xdist                 3.8.0
python-dateutil              2.9.0.post0
python-dotenv                1.1.1
python-engineio              4.12.2
python-slugify               8.0.4
python-socketio              5.13.0
pytz                         2025.2
PyYAML                       6.0.2
pyzmq                        27.0.0
redis                        6.4.0
regex                        2025.7.34
requests                     2.32.5
requests-mock                1.12.1
responses                    0.25.8
rich                         14.0.0
rsa                          4.9.1
ruamel.yaml                  0.18.15
ruamel.yaml.clib             0.2.14
ruff                         0.13.2
safety                       3.6.2
safety-schemas               0.0.16
sentry-sdk                   2.37.1
setuptools                   80.9.0
shellingham                  1.5.4
simple-websocket             1.1.0
six                          1.17.0
sniffio                      1.3.1
sortedcontainers             2.4.0
SQLAlchemy                   2.0.43
sse-starlette                3.0.2
starlette                    0.47.3
tenacity                     9.1.2
termcolor                    3.1.0
text-unidecode               1.3
tiktoken                     0.11.0
toml                         0.10.2
tomlkit                      0.13.3
tqdm                         4.67.1
typer                        0.19.2
typing_extensions            4.14.0
typing-inspection            0.4.1
tzdata                       2025.2
uritemplate                  4.2.0
urllib3                      2.5.0
uvicorn                      0.35.0
uvloop                       0.21.0
virtualenv                   20.31.2
watchfiles                   1.1.0
websocket-client             1.8.0
websockets                   15.0.1
Werkzeug                     3.1.3
wheel                        0.45.1
wsproto                      1.2.0
yarl                         1.20.1
zope.event                   5.1
zope.interface               7.2
