UltraAI Component Activation Map - Exact Code Locations,,,,,,,
Where each component is activated in the actual script files,,,,,,,
,,,,,,,
=== FEATURE 1: USER AUTHENTICATION ===,,,,,,,
Component,Purpose,File Location,Activation Point,Line/Function,Current Status,Dependencies
JWT Token System,Secure user sessions,backend/middleware/auth_middleware.py,setup_auth_middleware() called,backend/app.py:268,🟡 EXISTS,fastapi-jwt
Demo Mode Access,Public showcase capability,backend/middleware/auth_middleware.py,public_paths list,backend/app.py:253-267,🟡 PARTIAL (orchestrator enabled),fastapi-jwt
User Database,Store user credentials,backend/database/models/user.py,init_db() called,backend/app.py:110,🟡 EXISTS,sqlalchemy
Login UI,User login interface,frontend/src/auth/,API calls to /api/auth/,frontend network requests,🔴 DISCONNECTED,react
Session Management,Maintain user state,backend/utils/jwt.py,JWT middleware chain,backend/app.py:268,🟡 EXISTS,fastapi-jwt
,,,,,,,
=== FEATURE 2: DOCUMENT PROCESSING ===,,,,,,,
Component,Purpose,File Location,Activation Point,Line/Function,Current Status,Dependencies
File Upload Handler,Accept user documents,backend/routes/document_routes.py,app.include_router(),backend/app.py:291,🔴 MIDDLEWARE BROKEN,python-multipart
Upload Validation,Check file types/sizes,backend/middleware/validation_middleware.py,setup_validation_middleware(),backend/app.py:248,🟡 EXISTS,pydantic
File Storage,Store uploaded documents,backend/services/document_service.py,Route handler calls service,document_routes.py imports,🟡 EXISTS,sqlalchemy
Upload UI,Drag/drop interface,frontend/src/upload/,Component renders,React component tree,🔴 DISCONNECTED,react-dropzone
Progress Feedback,Show upload status,frontend/src/upload/,State management,React useState hooks,🔴 DISCONNECTED,react
,,,,,,,
=== FEATURE 3: PATTERN SELECTION ===,,,,,,,
Component,Purpose,File Location,Activation Point,Line/Function,Current Status,Dependencies
Pattern Definitions,Define analysis types,backend/integrations/pattern_orchestrator.py,Import in orchestrator_routes,orchestrator_routes.py:28-32,🟡 EXISTS,pydantic
Pattern UI Selector,User chooses patterns,frontend/src/patterns/,Component renders,React component tree,🔴 DISCONNECTED,react
Pattern Validation,Validate user selections,backend/utils/validation.py,Endpoint validation,Route handler decorators,🟡 EXISTS,pydantic
Pattern Mapping,Map UI to backend patterns,backend/integrations/pattern_orchestrator_integration.py,get_pattern_mapping(),orchestrator_routes.py:29,🟡 EXISTS,none
Default Patterns,Fallback if none selected,backend/integrations/pattern_orchestrator.py,PatternOrchestrator.__init__(),orchestrator instantiation,🟡 EXISTS,none
,,,,,,,
=== FEATURE 4: 4-STAGE FEATHER ORCHESTRATION (CORE IP) ===,,,,,,,
Component,Purpose,File Location,Activation Point,Line/Function,Current Status,Dependencies
Orchestrator Engine,Core 4-stage logic,backend/integrations/pattern_orchestrator.py,PatternOrchestrator class import,orchestrator_routes.py:28,🟡 EXISTS,openai anthropic google
Stage Progression,Initial→Meta→Hyper→Ultra,backend/integrations/pattern_orchestrator.py,orchestrate_full_process() method,Called by API endpoints,🟡 EXISTS,none
LLM Coordination,Send to multiple models,backend/services/llm_config_service.py,Service method calls,orchestrator.py method calls,🟡 EXISTS,httpx asyncio
Quality Evaluation,Score and rank responses,backend/models/enhanced_orchestrator.py,Model validation,Pydantic model activation,🟡 EXISTS,pydantic
Progress Tracking,Track stage completion,backend/routes/orchestrator_routes.py,Endpoint response handling,Route handler functions,🟡 EXISTS,fastapi
Orchestrator API,HTTP endpoints for access,backend/routes/orchestrator_routes.py,app.include_router(),backend/app.py:305,🔴 AUTH BLOCKED (but in public_paths),fastapi
,,,,,,,
=== FEATURE 5: MULTI-LLM INTEGRATION ===,,,,,,,
Component,Purpose,File Location,Activation Point,Line/Function,Current Status,Dependencies
OpenAI Client,GPT model access,backend/services/llm_config_service.py,Client initialization,Service class __init__,🟡 EXISTS,openai
Anthropic Client,Claude model access,backend/services/llm_config_service.py,Client initialization,Service class __init__,🟡 EXISTS,anthropic
